"","artist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","duration_ms","track_name"
"1552","Ciara",0.964,0.595,1,-6.887,0,0.109,0.0248,5.14e-06,0.0405,0.629,261880,"Get Up (feat. Chamillionaire)"
"1553","Ciara",0.725,0.127,4,-22.315,1,0.84,0.134,1.43e-06,0.158,0.519,15706,"The Evolution Of Fashion (Interlude)"
"1554","Ciara",0.908,0.526,7,-6.761,1,0.145,0.0294,0.164,0.128,0.801,253293,"Get In, Fit In"
"1555","Ciara",0.685,0.176,10,-19.553,0,0.874,0.66,0,0.353,0.238,19013,"The Evolution Of C (Interlude)"
"1556","Ciara",0.624,0.519,5,-7.06,0,0.0762,0.162,0,0.0748,0.376,289973,"So Hard"
"1557","Ciara",0.687,0.536,1,-8.736,1,0.0773,0.293,1.52e-05,0.181,0.379,272973,"I'm Just Me"
"1558","Ciara",0.558,0.305,6,-9.787,0,0.0307,0.49,0,0.266,0.36,272626,"I Found Myself"
"1559","Ciara",0.79,0.611,1,-7.934,1,0.102,0.0226,0.00146,0.0804,0.592,185600,"Addicted"
"1560","Ciara",0.736,0.566,9,-5.122,1,0.047,0.432,0,0.338,0.412,299160,"Promise (Go And Get Your Tickets Mix) (feat. R. Kelly)"
"1561","Ciara",0.726,0.869,8,-5.765,1,0.0639,0.000445,0.0575,0.257,0.681,404626,"Like A Boy - Soul Seekerz Remix"
"1562","Ciara",0.848,0.964,6,-3.727,1,0.234,0.0643,1.6e-06,0.167,0.412,256146,"That's Right (feat. Lil Jon)"
"1563","Ciara",0.701,0.724,0,-5.751,0,0.145,0.267,0,0.0867,0.425,237053,"Like a Boy"
"1564","Ciara",0,0.139,5,-20.542,1,0,0.666,3.2e-06,0.177,0,10680,"The Evolution Of Music (Interlude)"
"1565","Ciara",0.697,0.629,9,-5.757,1,0.0425,0.409,3.8e-06,0.0819,0.439,267413,"Promise"
"1566","Ciara",0.859,0.456,11,-7.019,1,0.0742,0.00171,0.0227,0.107,0.349,253093,"I Proceed"
"1567","Ciara",0.527,0.696,1,-6.015,0,0.361,0.209,0,0.0516,0.499,244760,"Can't Leave 'Em Alone (feat. 50 Cent)"
"1568","Ciara",0.826,0.683,6,-6.947,0,0.135,0.00448,8.39e-05,0.17,0.736,257173,"C.R.U.S.H"
"1569","Ciara",0.432,0.632,1,-7.553,1,0.155,0.0154,3.68e-05,0.156,0.252,240360,"My Love"
"1570","Ciara",0.805,0.107,10,-21.324,0,0.916,0.426,1.2e-05,0.176,0.722,15826,"The Evolution Of Dance (Interlude)"
"1571","Ciara",0.778,0.747,2,-5.508,1,0.0333,0.00464,2.03e-05,0.0897,0.0495,213360,"Make It Last Forever"
"1572","Ciara",0.656,0.861,4,-6.828,0,0.338,0.00655,0.196,0.315,0.255,184866,"Bang It Up"
"1573","Ciara",0.964,0.595,1,-6.887,0,0.109,0.0248,5.14e-06,0.0405,0.629,261880,"Get Up (feat. Chamillionaire)"
"1574","Ciara",0.725,0.127,4,-22.315,1,0.84,0.134,1.43e-06,0.158,0.519,15706,"The Evolution Of Fashion (Interlude)"
"1575","Ciara",0.908,0.526,7,-6.761,1,0.145,0.0294,0.164,0.128,0.801,253293,"Get In, Fit In"
"1576","Ciara",0.685,0.176,10,-19.553,0,0.874,0.66,0,0.353,0.238,19013,"The Evolution Of C (Interlude)"
"1577","Ciara",0.624,0.519,5,-7.06,0,0.0762,0.162,0,0.0748,0.376,289973,"So Hard"
"1578","Ciara",0.687,0.536,1,-8.736,1,0.0773,0.293,1.52e-05,0.181,0.379,272973,"I'm Just Me"
"1579","Ciara",0.558,0.305,6,-9.787,0,0.0307,0.49,0,0.266,0.36,272626,"I Found Myself"
"1580","Ciara",0.79,0.611,1,-7.934,1,0.102,0.0226,0.00146,0.0804,0.592,185600,"Addicted"
"1581","Ciara",0.736,0.566,9,-5.122,1,0.047,0.432,0,0.338,0.412,299160,"Promise (Go And Get Your Tickets Mix) (feat. R. Kelly)"
"1582","Ciara",0.956,0.449,11,-7.768,0,0.0954,0.0108,0.357,0.0821,0.844,230573,"Do It"
"1583","Ciara",0.848,0.964,6,-3.727,1,0.234,0.0643,1.6e-06,0.167,0.412,256146,"That's Right (feat. Lil Jon)"
"1584","Ciara",0.701,0.724,0,-5.751,0,0.145,0.267,0,0.0867,0.425,237053,"Like a Boy"
"1585","Ciara",0,0.139,5,-20.542,1,0,0.666,3.2e-06,0.177,0,10680,"The Evolution Of Music (Interlude)"
"1586","Ciara",0.697,0.629,9,-5.757,1,0.0425,0.409,3.8e-06,0.0819,0.439,267413,"Promise"
"1587","Ciara",0.859,0.456,11,-7.019,1,0.0742,0.00171,0.0227,0.107,0.349,253093,"I Proceed"
"1588","Ciara",0.527,0.696,1,-6.015,0,0.361,0.209,0,0.0516,0.499,244760,"Can't Leave 'Em Alone (feat. 50 Cent)"
"1589","Ciara",0.826,0.683,6,-6.947,0,0.135,0.00448,8.39e-05,0.17,0.736,257173,"C.R.U.S.H"
"1590","Ciara",0.432,0.632,1,-7.553,1,0.155,0.0154,3.68e-05,0.156,0.252,240360,"My Love"
